Character table of Sysmmetric Group (n=10)
42X42	[10]	[9 1]	[8 2]	[8 1 1]	[7 3]	[7 2 1]	[7 1 1 1]	[6 4]	[6 3 1]	[6 2 2]	[6 2 1 1]	[6 1 1 1 1]	[5 5]	[5 4 1]	[5 3 2]	[5 3 1 1]	[5 2 2 1]	[5 2 1 1 1]	[5 1 1 1 1 1]	[4 4 2]	[4 4 1 1]	[4 3 3]	[4 3 2 1]	[4 3 1 1 1]	[4 2 2 2]	[4 2 2 1 1]	[4 2 1 1 1 1]	[4 1 1 1 1 1 1]	[3 3 3 1]	[3 3 2 2]	[3 3 2 1 1]	[3 3 1 1 1 1]	[3 2 2 2 1]	[3 2 2 1 1 1]	[3 2 1 1 1 1 1]	[3 1 1 1 1 1 1 1]	[2 2 2 2 2]	[2 2 2 2 1 1]	[2 2 2 1 1 1 1]	[2 2 1 1 1 1 1 1]	[2 1 1 1 1 1 1 1 1]	[1 1 1 1 1 1 1 1 1 1]	
[10]	1	-1	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	1	-1	
[9 1]	1	0	-1	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	1	
[8 2]	1	-1	1	0	-1	0	0	0	1	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	-1	0	1	0	0	0	0	-1	1	-1	1	
[8 1 1]	1	1	-1	0	-1	0	0	0	1	1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-1	0	-1	0	0	0	0	1	1	-1	-1	
[7 3]	1	-1	0	1	1	-1	0	-1	0	1	0	0	0	1	-1	0	0	0	0	0	-1	0	1	0	-1	0	0	0	0	0	-1	1	1	0	-1	1	0	-1	1	0	-1	1	
[7 2 1]	1	0	0	-1	0	1	0	-1	0	-1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	1	-1	0	-1	1	0	1	0	0	0	-1	
[7 1 1 1]	1	2	0	1	-2	-1	0	-1	0	1	0	0	0	1	2	0	0	0	0	0	-1	0	-2	0	-1	0	0	0	0	0	2	1	1	0	-1	1	0	-1	-2	0	2	1	
[6 4]	1	-1	0	1	0	0	-1	1	-1	0	1	0	-1	0	1	0	-1	0	0	-1	1	0	0	-1	1	0	1	-1	0	-1	1	0	0	-1	0	1	-1	1	0	0	-1	1	
[6 3 1]	1	0	-1	0	1	0	1	0	0	0	-1	0	-1	0	0	0	1	0	0	0	1	-1	0	-1	-1	0	1	-1	1	0	0	0	0	0	0	0	1	0	-1	1	0	-1	
[6 2 2]	1	-1	2	-1	-2	0	1	1	1	0	-1	0	-1	0	-1	0	1	0	0	-1	1	2	0	-1	-1	0	1	-1	-2	1	1	0	0	-1	0	1	1	-1	2	-2	1	-1	
[6 2 1 1]	1	1	0	-1	0	0	-1	-1	1	0	1	0	-1	0	-1	0	-1	0	0	1	1	0	0	-1	1	0	1	-1	0	1	-1	0	0	1	0	-1	-1	-1	0	0	1	1	
[6 1 1 1 1]	1	3	2	3	-2	0	1	-3	-3	0	-1	0	-1	0	3	0	1	0	0	3	1	2	0	-1	-1	0	1	-1	-2	-3	-3	0	0	3	0	-3	1	3	2	-2	-3	-1	
[5 5]	1	-1	0	1	0	0	-1	0	0	0	0	1	2	-2	0	2	0	-2	1	2	0	0	-2	0	0	2	0	-1	0	2	0	0	-2	0	0	1	2	0	0	0	-1	1	
[5 4 1]	1	0	-1	0	0	1	0	1	-1	0	0	-1	1	-1	0	1	0	0	1	0	0	1	0	0	0	-1	0	0	-1	0	0	0	1	1	-1	0	-1	-1	0	1	0	-1	
[5 3 2]	1	-1	1	0	0	-1	1	-1	1	0	0	-1	2	-1	0	0	0	0	1	1	0	-1	0	0	0	0	0	-1	1	-1	0	0	1	-1	1	0	-2	1	0	-1	1	-1	
[5 3 1 1]	1	1	-1	0	0	-1	1	1	1	0	0	1	0	-1	0	0	0	-2	1	-1	0	-1	2	0	0	0	0	1	-1	-1	0	0	-1	1	-1	0	0	1	0	-1	1	1	
[5 2 2 1]	1	0	1	-2	0	1	0	-1	-1	0	0	1	1	1	0	1	0	-2	1	-2	0	1	0	0	0	1	0	0	1	-2	0	0	1	-1	1	-2	1	-1	0	1	0	1	
[5 2 1 1 1]	1	2	1	0	0	-1	-2	-1	1	0	0	-1	-1	-1	0	3	0	0	1	-2	0	-1	0	0	0	-3	0	2	1	2	0	0	1	-1	1	0	1	1	0	-1	-2	-1	
[5 1 1 1 1 1]	1	4	5	6	0	5	4	-5	-5	0	0	1	-3	-7	0	-3	0	-2	1	2	0	5	8	0	0	-3	0	4	5	2	0	0	-7	-5	5	6	-3	-5	0	5	4	1	
[4 4 2]	1	-1	1	0	-1	0	0	2	-1	-1	2	-2	-2	0	2	-1	-1	0	2	0	0	-2	0	1	0	1	-2	0	2	0	-2	1	0	1	0	0	2	-2	1	-1	1	-1	
[4 4 1 1]	1	1	-1	0	-1	0	0	2	-1	1	2	-2	2	0	-2	-1	1	0	-2	0	0	2	0	1	0	-1	2	0	2	0	-2	1	0	-1	0	0	2	2	-1	-1	1	1	
[4 3 3]	1	-1	0	1	2	-2	1	-1	-1	2	1	-2	-1	2	-1	0	-1	0	2	-1	-1	2	0	1	1	0	-1	-1	-2	1	1	-2	-2	1	2	-1	1	1	-2	0	1	-1	
[4 3 2 1]	1	0	0	-1	1	0	1	0	-1	-1	1	-1	0	0	1	0	0	0	-1	1	-1	-1	0	0	-1	0	1	1	-1	1	1	-1	0	-1	0	-1	0	0	1	0	0	1	
[4 3 1 1 1]	1	2	0	1	-1	-2	1	2	-1	-1	1	1	2	2	-1	0	2	0	-1	-1	-1	-1	0	-2	1	0	-1	-1	1	1	1	1	-2	1	2	-1	-2	-2	1	0	-2	-1	
[4 2 2 2]	1	-1	3	-2	-3	0	2	4	-1	3	-2	0	-4	0	-2	3	-1	0	0	2	-2	0	0	-1	-2	3	-2	2	0	2	-2	3	0	-1	0	-2	-4	4	-3	3	-1	1	
[4 2 2 1 1]	1	1	1	-2	1	0	-2	0	-1	1	2	0	0	0	-2	-1	1	0	0	2	2	0	0	-1	-2	1	-2	2	0	-2	2	-1	0	1	0	2	0	0	-1	-1	-1	-1	
[4 2 1 1 1 1]	1	3	3	2	1	0	-2	0	-1	-1	-2	-4	0	0	-2	3	3	0	-4	-2	2	-4	0	3	2	3	-2	-2	-4	-2	-2	-1	0	-1	0	2	0	0	1	3	3	1	
[4 1 1 1 1 1 1]	1	5	9	10	5	16	10	-4	-1	5	10	4	-4	-16	-10	-9	5	0	-4	-10	-10	-4	0	-5	10	9	-10	-10	4	10	10	-5	16	1	-16	-10	4	4	-5	-9	-5	-1	
[3 3 3 1]	1	0	-1	0	3	-2	3	0	0	0	-1	0	-3	0	0	0	3	-2	0	0	3	3	-6	3	3	0	-1	3	3	0	0	0	0	0	-2	0	-3	0	3	-1	0	1	
[3 3 2 2]	1	-1	2	-1	0	-2	3	-1	1	2	-1	-2	3	-2	1	0	-3	4	-2	-1	3	0	0	-3	3	0	-1	3	0	-1	1	2	-2	1	-2	-1	3	-1	0	2	-1	1	
[3 3 2 1 1]	1	1	0	-1	2	-2	1	1	1	-2	1	2	-1	-2	1	0	-1	0	-2	1	-1	2	0	1	1	0	-1	-1	-2	-1	-1	2	2	-1	2	1	1	-1	-2	0	-1	-1	
[3 3 1 1 1 1]	1	3	2	3	0	-2	3	3	-3	-6	-1	6	3	6	-3	0	-3	4	6	3	3	0	0	-3	3	0	-1	3	0	3	-3	-6	6	-3	-2	3	3	3	0	2	3	1	
[3 2 2 2 1]	1	0	2	-3	1	0	1	0	-3	3	-1	3	2	0	3	0	-2	0	-3	-3	1	-1	0	2	-1	0	1	-1	1	3	-3	-3	0	3	0	3	-2	0	-1	-2	0	-1	
[3 2 2 1 1 1]	1	2	2	-1	3	-2	-3	2	1	-1	-1	1	0	-2	1	0	0	4	1	-1	-3	3	0	0	-3	0	-1	-3	3	-1	1	-1	-2	1	-2	-1	0	2	3	2	2	1	
[3 2 1 1 1 1 1]	1	4	6	5	5	4	1	4	1	-5	-5	-1	2	4	-5	0	-10	0	1	1	5	-1	0	10	-5	0	5	-1	1	-1	5	5	-4	-1	-4	-5	-2	-4	-5	-6	-4	-1	
[3 1 1 1 1 1 1 1]	1	6	14	15	15	34	21	6	21	15	35	21	0	-6	-15	0	0	28	21	-21	-15	-21	-48	0	-15	0	35	21	-21	-21	-15	15	-6	21	34	15	0	6	15	14	6	1	
[2 2 2 2 2]	1	-1	5	-4	-5	0	4	10	-5	15	-10	6	-10	0	-10	15	-5	0	-6	20	-20	-10	0	5	20	-15	10	-4	10	-20	10	-15	0	5	0	4	10	-10	5	-5	1	-1	
[2 2 2 2 1 1]	1	1	3	-4	3	0	-4	2	-5	9	-2	6	2	0	2	-9	5	0	6	4	4	-6	0	5	4	-9	-2	-4	-6	4	2	9	0	-5	0	-4	2	2	3	3	1	1	
[2 2 2 1 1 1 1]	1	3	5	0	7	0	-8	6	3	3	-10	-6	2	0	6	-9	7	0	6	0	-8	2	0	-7	8	9	10	8	-2	0	-6	-3	0	-3	0	0	-2	-6	-7	-5	-3	-1	
[2 2 1 1 1 1 1 1]	1	5	11	8	15	16	0	14	19	5	-10	-14	6	16	10	-9	-15	-32	-14	8	0	6	0	-15	0	-9	-10	0	6	8	10	5	16	19	16	8	6	14	15	11	5	1	
[2 1 1 1 1 1 1 1 1]	1	7	21	20	35	64	28	34	91	55	70	14	14	64	70	63	35	0	-14	28	20	14	0	-35	-20	-63	-70	-28	-14	-28	-70	-55	-64	-91	-64	-20	-14	-34	-35	-21	-7	-1	
[1 1 1 1 1 1 1 1 1 1]	1	9	35	36	75	160	84	90	315	225	350	126	42	288	450	567	525	448	126	252	300	210	768	525	300	567	350	84	210	252	450	225	288	315	160	36	42	90	75	35	9	1	
