Character table of Sysmmetric Group (n=7)
15X15	[7]	[6 1]	[5 2]	[5 1 1]	[4 3]	[4 2 1]	[4 1 1 1]	[3 3 1]	[3 2 2]	[3 2 1 1]	[3 1 1 1 1]	[2 2 2 1]	[2 2 1 1 1]	[2 1 1 1 1 1]	[1 1 1 1 1 1 1]	
[7]	1	-1	0	1	0	0	-1	0	0	0	1	0	0	-1	1	
[6 1]	1	0	-1	0	0	1	0	0	0	-1	0	0	1	0	-1	
[5 2]	1	-1	1	0	-1	0	0	1	-1	0	0	1	-1	1	-1	
[5 1 1]	1	1	-1	0	-1	0	0	1	1	0	0	-1	-1	1	1	
[4 3]	1	-1	0	1	1	-1	0	-1	1	1	-1	-1	0	1	-1	
[4 2 1]	1	0	0	-1	0	1	0	-1	-1	1	-1	0	0	0	1	
[4 1 1 1]	1	2	0	1	-2	-1	0	-1	1	1	-1	2	0	-2	-1	
[3 3 1]	1	0	-1	0	2	-1	2	0	0	-1	0	2	-1	0	1	
[3 2 2]	1	-1	2	-1	-1	-1	2	1	1	-1	-1	-1	2	-1	1	
[3 2 1 1]	1	1	0	-1	1	-1	0	1	-1	1	1	-1	0	-1	-1	
[3 1 1 1 1]	1	3	2	3	-1	-1	2	-3	-3	-1	3	-1	2	3	1	
[2 2 2 1]	1	0	2	-3	0	1	0	-3	3	-1	3	0	-2	0	-1	
[2 2 1 1 1]	1	2	2	-1	2	-1	-4	1	1	-1	-1	2	2	2	1	
[2 1 1 1 1 1]	1	4	6	5	4	5	0	1	-1	-5	-5	-4	-6	-4	-1	
[1 1 1 1 1 1 1]	1	6	14	15	14	35	20	21	21	35	15	14	14	6	1	
