Character table of Sysmmetric Group (n=8)
22X22	[8]	[7 1]	[6 2]	[6 1 1]	[5 3]	[5 2 1]	[5 1 1 1]	[4 4]	[4 3 1]	[4 2 2]	[4 2 1 1]	[4 1 1 1 1]	[3 3 2]	[3 3 1 1]	[3 2 2 1]	[3 2 1 1 1]	[3 1 1 1 1 1]	[2 2 2 2]	[2 2 2 1 1]	[2 2 1 1 1 1]	[2 1 1 1 1 1 1]	[1 1 1 1 1 1 1 1]	
[8]	1	-1	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	-1	0	0	0	1	-1	
[7 1]	1	0	-1	0	0	1	0	0	0	0	-1	0	0	0	0	1	0	0	0	-1	0	1	
[6 2]	1	-1	1	0	-1	0	0	0	1	-1	0	0	0	-1	1	0	0	0	-1	1	-1	1	
[6 1 1]	1	1	-1	0	-1	0	0	0	1	1	0	0	0	-1	-1	0	0	0	1	1	-1	-1	
[5 3]	1	-1	0	1	1	-1	0	-1	0	1	0	0	-1	1	0	-1	1	-1	1	0	-1	1	
[5 2 1]	1	0	0	-1	0	1	0	-1	0	-1	0	0	0	1	0	-1	1	1	0	0	0	-1	
[5 1 1 1]	1	2	0	1	-2	-1	0	-1	0	1	0	0	2	1	0	-1	1	-1	-2	0	2	1	
[4 4]	1	-1	0	1	0	0	-1	2	-2	0	2	-1	2	0	-2	0	1	2	0	0	-1	1	
[4 3 1]	1	0	-1	0	1	0	1	1	-1	0	0	-1	0	0	1	0	0	-1	-1	1	0	-1	
[4 2 2]	1	-1	2	-1	-2	0	1	2	0	0	0	-1	0	0	0	0	1	-2	2	-2	1	-1	
[4 2 1 1]	1	1	0	-1	0	0	-1	0	0	0	2	-1	-2	0	0	0	-1	0	0	0	1	1	
[4 1 1 1 1]	1	3	2	3	-2	0	1	-2	-4	0	0	-1	0	0	4	0	-3	2	2	-2	-3	-1	
[3 3 2]	1	-1	1	0	1	-2	2	-2	1	1	0	-2	0	-1	-1	2	0	2	-1	-1	1	-1	
[3 3 1 1]	1	1	-1	0	1	-2	2	2	1	-1	0	2	0	-1	1	-2	0	2	1	-1	1	1	
[3 2 2 1]	1	0	1	-2	1	0	1	-1	-1	0	0	1	2	0	-1	0	-2	-1	1	1	0	1	
[3 2 1 1 1]	1	2	1	0	1	-2	-1	1	1	-2	0	1	0	2	-1	2	0	-1	-1	-1	-2	-1	
[3 1 1 1 1 1]	1	4	5	6	1	4	5	-1	-5	-4	0	5	-6	-4	-5	4	6	-1	1	5	4	1	
[2 2 2 2]	1	-1	4	-3	-4	0	3	6	-2	8	-6	3	-6	8	-2	0	-3	6	-4	4	-1	1	
[2 2 2 1 1]	1	1	2	-3	2	0	-3	0	-2	4	0	3	0	-4	2	0	3	0	-2	-2	-1	-1	
[2 2 1 1 1 1]	1	3	4	1	4	0	-5	2	2	0	-6	-5	2	0	2	0	1	2	4	4	3	1	
[2 1 1 1 1 1 1]	1	5	10	9	10	16	5	4	10	4	0	-5	0	-4	-10	-16	-9	-4	-10	-10	-5	-1	
[1 1 1 1 1 1 1 1]	1	7	20	21	28	64	35	14	70	56	90	35	42	56	70	64	21	14	28	20	7	1	
