Character table of Sysmmetric Group (n=9)
30X30	[9]	[8 1]	[7 2]	[7 1 1]	[6 3]	[6 2 1]	[6 1 1 1]	[5 4]	[5 3 1]	[5 2 2]	[5 2 1 1]	[5 1 1 1 1]	[4 4 1]	[4 3 2]	[4 3 1 1]	[4 2 2 1]	[4 2 1 1 1]	[4 1 1 1 1 1]	[3 3 3]	[3 3 2 1]	[3 3 1 1 1]	[3 2 2 2]	[3 2 2 1 1]	[3 2 1 1 1 1]	[3 1 1 1 1 1 1]	[2 2 2 2 1]	[2 2 2 1 1 1]	[2 2 1 1 1 1 1]	[2 1 1 1 1 1 1 1]	[1 1 1 1 1 1 1 1 1]	
[9]	1	-1	0	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	-1	1	
[8 1]	1	0	-1	0	0	1	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	
[7 2]	1	-1	1	0	-1	0	0	0	1	-1	0	0	0	0	-1	1	0	0	0	0	1	0	-1	0	0	0	1	-1	1	-1	
[7 1 1]	1	1	-1	0	-1	0	0	0	1	1	0	0	0	0	-1	-1	0	0	0	0	1	0	1	0	0	0	-1	-1	1	1	
[6 3]	1	-1	0	1	1	-1	0	-1	0	1	0	0	1	-1	0	0	0	0	0	1	-1	-1	0	1	-1	1	-1	0	1	-1	
[6 2 1]	1	0	0	-1	0	1	0	-1	0	-1	0	0	1	0	0	0	0	0	0	0	-1	1	0	1	-1	-1	0	0	0	1	
[6 1 1 1]	1	2	0	1	-2	-1	0	-1	0	1	0	0	1	2	0	0	0	0	0	-2	-1	-1	0	1	-1	1	2	0	-2	-1	
[5 4]	1	-1	0	1	0	0	-1	1	-1	0	1	0	-1	1	1	-1	-1	1	0	-1	0	1	1	0	-1	-1	0	0	1	-1	
[5 3 1]	1	0	-1	0	1	0	1	0	0	0	-1	0	-1	0	1	1	-1	1	-1	0	0	-1	0	0	0	0	1	-1	0	1	
[5 2 2]	1	-1	2	-1	-2	0	1	1	1	0	-1	0	-1	-1	1	1	-1	1	2	-1	0	-1	1	0	-1	1	-2	2	-1	1	
[5 2 1 1]	1	1	0	-1	0	0	-1	-1	1	0	1	0	-1	-1	1	-1	-1	1	0	1	0	1	-1	0	1	1	0	0	-1	-1	
[5 1 1 1 1]	1	3	2	3	-2	0	1	-3	-3	0	-1	0	-1	3	1	1	-1	1	2	3	0	-1	-3	0	3	-3	-2	2	3	1	
[4 4 1]	1	0	-1	0	0	1	0	2	-2	0	1	-2	0	0	0	0	1	0	2	0	0	0	-2	1	0	2	0	-1	0	1	
[4 3 2]	1	-1	1	0	0	-1	1	0	0	0	1	-2	0	1	-1	-1	1	1	-2	1	0	0	0	-1	0	0	0	1	-1	1	
[4 3 1 1]	1	1	-1	0	0	-1	1	2	0	0	1	0	0	-1	-1	1	-1	-1	0	1	0	0	0	1	0	-2	0	1	-1	-1	
[4 2 2 1]	1	0	1	-2	0	1	0	0	-2	0	1	0	2	0	0	0	-1	0	0	0	0	-2	2	-1	2	0	0	-1	0	-1	
[4 2 1 1 1]	1	2	1	0	0	-1	-2	0	0	0	1	-2	0	-2	2	2	1	-2	-2	-2	0	0	0	-1	0	0	0	1	2	1	
[4 1 1 1 1 1]	1	4	5	6	0	5	4	-4	-6	0	1	0	-6	-4	-4	4	-1	-4	0	4	0	6	6	-5	-6	4	0	-5	-4	-1	
[3 3 3]	1	-1	0	1	3	-3	2	-3	0	3	0	-2	3	-3	0	0	0	2	6	-3	3	3	0	-3	1	-3	3	0	-1	1	
[3 3 2 1]	1	0	0	-1	2	-1	2	-1	0	-1	0	0	-1	2	0	0	0	-2	0	-2	1	1	0	1	1	1	-2	0	0	-1	
[3 3 1 1 1]	1	2	0	1	0	-3	2	3	0	-3	0	4	3	0	0	0	0	2	0	0	-3	3	0	-3	1	3	0	0	2	1	
[3 2 2 2]	1	-1	3	-2	-2	-1	3	2	0	4	-3	0	-2	-1	3	-3	3	-3	0	1	-4	2	0	1	2	-2	2	-3	1	-1	
[3 2 2 1 1]	1	1	1	-2	2	-1	-1	0	0	0	1	2	-2	1	-1	-1	1	-1	2	1	0	-2	0	-1	-2	0	2	1	1	1	
[3 2 1 1 1 1]	1	3	3	2	2	-1	-1	2	0	-4	-3	0	2	-1	3	-3	3	1	0	1	4	-2	0	1	-2	-2	-2	-3	-3	-1	
[3 1 1 1 1 1 1]	1	5	9	10	6	15	11	0	0	0	9	10	-6	-15	-9	-9	9	11	-6	-15	0	-6	0	15	10	0	6	9	5	1	
[2 2 2 2 1]	1	0	3	-4	0	1	0	2	-6	8	-3	6	4	0	0	0	-3	0	-6	0	8	4	-6	1	-4	2	0	3	0	1	
[2 2 2 1 1 1]	1	2	3	-2	4	-1	-6	2	0	4	-3	0	-2	2	-6	6	3	6	0	-2	-4	2	0	1	2	-2	-4	-3	-2	-1	
[2 2 1 1 1 1 1]	1	4	7	4	8	5	-4	6	6	0	-11	-10	4	4	-4	-4	-11	-4	2	4	0	4	6	5	4	6	8	7	4	1	
[2 1 1 1 1 1 1 1]	1	6	15	14	20	35	14	14	36	20	21	0	14	14	6	-6	-21	-14	0	-14	-20	-14	-36	-35	-14	-14	-20	-15	-6	-1	
[1 1 1 1 1 1 1 1 1]	1	8	27	28	48	105	56	42	162	120	189	70	84	168	216	216	189	56	42	168	120	84	162	105	28	42	48	27	8	1	
